filename,link,file_id,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
19597.jpg,http://assets.myntassets.com/v1/images/style/properties/993d347824efaccadff6de38b53b48f6_images.jpg,19597,19597,Women,Apparel,Tops,Tops,Magenta,Fall,2011.0,Casual,United Colors of Benetton Women Printed Magenta Top
18646.jpg,http://assets.myntassets.com/v1/images/style/properties/dbd164ce60b1eb4c7e6416cd59d72170_images.jpg,18646,18646,Men,Apparel,Tops,Shirts,Purple,Fall,2011.0,Casual,United Colors of Benetton Men Stripes Purple Shirt
25527.jpg,http://assets.myntassets.com/v1/images/style/properties/265eaf9a05b99fdb4dbe35b18b471e8d_images.jpg,25527,25527,Women,Apparel,Tops,Shirts,Green,Summer,2012.0,Casual,Wrangler Women Stella Green Shirt
3442.jpg,http://assets.myntassets.com/v1/images/style/properties/Delhi-Daredevils-Kids-Match-Jersey_d64dbfdf56139388aefb6184ba6e3f52_images.jpg,3442,3442,Unisex,Apparel,Tops,Tshirts,Blue,Summer,2011.0,Sports,Delhi Daredevils Kids Match Jersey
53809.jpg,http://assets.myntassets.com/v1/images/style/properties/Ayaany-Women-White-Tunic_9c17bc915d386e41abd7fe8632aa083f_images.jpg,53809,53809,Women,Apparel,Tops,Tunics,White,Fall,2012.0,Casual,Ayaany Women White Tunic
16394.jpg,http://assets.myntassets.com/v1/images/style/properties/4aefd2f041e97505c36977e61f06d35f_images.jpg,16394,16394,Men,Apparel,Tops,Shirts,Blue,Fall,2011.0,Casual,Levis Men Check Blue  Shirts
21155.jpg,http://assets.myntassets.com/v1/images/style/properties/a6e4a893a03cdddb3ee0c2a38a039a13_images.jpg,21155,21155,Women,Apparel,Tops,Shirts,Green,Fall,2011.0,Casual,s.Oliver Women Green Check Shirt
44836.jpg,http://assets.myntassets.com/v1/images/style/properties/9b2d75c63b4dea47a3edcc2d3030ab73_images.jpg,44836,44836,Men,Apparel,Tops,Tshirts,White,Summer,2012.0,Sports,Puma Men White Training T-shirt
58573.jpg,http://assets.myntassets.com/v1/images/style/properties/Puma-Women-Black-T-shirt_6f690876716ae6dce9883e7064fca96e_images.jpg,58573,58573,Women,Apparel,Tops,Tshirts,Black,Summer,2012.0,Casual,Puma Women Black T-shirt
6191.jpg,http://assets.myntassets.com/v1/images/style/properties/e0bad838342d4e75cd746b0c8ba8b6b1_images.jpg,6191,6191,Women,Apparel,Tops,Tops,Pink,Summer,2011.0,Casual,UCB Women Placket Stripe Pink Grey Top
18269.jpg,http://assets.myntassets.com/v1/images/style/properties/6bc44dc23003a161a5b50d79c4caba46_images.jpg,18269,18269,Women,Apparel,Tops,Tunics,Black,Fall,2011.0,Casual,Aneri Women Monalisa Black Tunic
17723.jpg,http://assets.myntassets.com/v1/images/style/properties/a0928c6d7ac0486295df06eac61da639_images.jpg,17723,17723,Men,Apparel,Tops,Shirts,Grey,Fall,2011.0,Casual,Reid & Taylor Men Check Medium Grey Shirt
10665.jpg,http://assets.myntassets.com/v1/images/style/properties/ec4293664c4243760c0aca9eea26fb0a_images.jpg,10665,10665,Men,Apparel,Tops,Tshirts,Black,Fall,2011.0,Casual,Doodle Boy Extream Racer Black Tshirts
7909.jpg,http://assets.myntassets.com/v1/images/style/properties/eeba944ba939355954cf950c37eb0cc6_images.jpg,7909,7909,Men,Apparel,Tops,Tshirts,Navy Blue,Fall,2011.0,Casual,Proline Men Navy & Cream Striped Polo T-shirt
26246.jpg,http://assets.myntassets.com/v1/images/style/properties/a0dbc49617cb68a3ce1fe352d5410f51_images.jpg,26246,26246,Men,Apparel,Tops,Tshirts,Green,Summer,2012.0,Casual,Proline Men Green Polo Tshirt
26362.jpg,http://assets.myntassets.com/v1/images/style/properties/5e825bad54102f1b4104663abc63727c_images.jpg,26362,26362,Women,Apparel,Tops,Tshirts,Grey,Summer,2012.0,Casual,Arrow Woman Printed Grey T-shirt
34100.jpg,http://assets.myntassets.com/v1/images/style/properties/15ce9d903e31e9ee092cb335773fceaa_images.jpg,34100,34100,Boys,Apparel,Tops,Tshirts,Blue,Summer,2012.0,Casual,Doodle Boys Printed Blue T-shirt
8420.jpg,http://assets.myntassets.com/v1/images/style/properties/093180fee50206fc8bb3814eef3db6c1_images.jpg,8420,8420,Girls,Apparel,Tops,Tshirts,Pink,Fall,2011.0,Casual,Doodle Girl's Crazy And Funny Pink Kidswear
41596.jpg,http://assets.myntassets.com/v1/images/style/properties/32dbbfdb7eca60b1566b03315eab11fc_images.jpg,41596,41596,Men,Apparel,Tops,Shirts,Red,Summer,2012.0,Casual,Basics Men Red Striped Shirt
9530.jpg,http://assets.myntassets.com/v1/images/style/properties/447d5c6c8de323af9228d7de43ecca20_images.jpg,9530,9530,Men,Apparel,Tops,Tshirts,White,Fall,2011.0,Sports,Nike Men Coolfitted White T-Shirts
8398.jpg,http://assets.myntassets.com/v1/images/style/properties/60bab8f4c07181195c6e805b455aa98d_images.jpg,8398,8398,Men,Apparel,Tops,Tshirts,White,Fall,2011.0,Sports,ADIDAS Men Adna Ss Tee White T-Shirts
20171.jpg,http://assets.myntassets.com/v1/images/style/properties/6d6461d64db87889a12968d7b888caea_images.jpg,20171,20171,Men,Apparel,Tops,Shirts,Black,Fall,2011.0,Casual,Wrangler Men Aoston Black Shirt
18617.jpg,http://assets.myntassets.com/v1/images/style/properties/0803a77764a0449ce868a975066b8b36_images.jpg,18617,18617,Men,Apparel,Tops,Tshirts,White,Fall,2011.0,Sports,Puma Men Team Essential White Tshirts
14627.jpg,http://assets.myntassets.com/v1/images/style/properties/6a14c9cb70a3f255046c3a507f430aa1_images.jpg,14627,14627,Women,Apparel,Tops,Tops,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Tops
18987.jpg,http://assets.myntassets.com/v1/images/style/properties/e5ff5cce4977e849b593368bd8ab4617_images.jpg,18987,18987,Men,Apparel,Tops,Tshirts,Blue,Summer,2011.0,Casual,ADIDAS Originals Men St Grp Blue T-Shirt
2122.jpg,http://assets.myntassets.com/v1/images/style/properties/f44a6d4bb43c903b0a52b15e99aa5d14_images.jpg,2122,2122,Women,Apparel,Tops,Tops,Black,Winter,2010.0,Casual,Lee Women Black Top
34243.jpg,http://assets.myntassets.com/v1/images/style/properties/14394e008f454895f049cc6daa55f278_images.jpg,34243,34243,Men,Apparel,Tops,Tshirts,Purple,Summer,2012.0,Casual,Proline Men Purple T-shirt with Printed Detail
4943.jpg,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg,4943,4943,Men,Apparel,Tops,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
27171.jpg,http://assets.myntassets.com/v1/images/style/properties/ae7d4ba6b9c2fce08f24e6bc94a226f5_images.jpg,27171,27171,Men,Apparel,Tops,Shirts,White,Summer,2012.0,Formal,Mark Taylor Men Striped White Shirt
12589.jpg,http://assets.myntassets.com/v1/images/style/properties/ee6a5bdb0b3b18038bd417ab2c4662a2_images.jpg,12589,12589,Unisex,Apparel,Tops,Tshirts,Brown,Fall,2011.0,Casual,Tantra Unisex Printed Brown Tshirts
9729.jpg,http://assets.myntassets.com/v1/images/style/properties/b0635ef77e1401accb1fbcdfce31ef7f_images.jpg,9729,9729,Men,Apparel,Tops,Shirts,Blue,Fall,2011.0,Casual,Indian Terrain Men Brett Blue Shirts
16636.jpg,http://assets.myntassets.com/v1/images/style/properties/572ff0a0759091b3de089afb81dcbaf4_images.jpg,16636,16636,Men,Apparel,Tops,Tshirts,Rust,Summer,2016.0,Casual,Facit Men Smart Rust Tshirt
21400.jpg,http://assets.myntassets.com/v1/images/style/properties/51094aa6b0d88039792ba9a93554d813_images.jpg,21400,21400,Men,Apparel,Tops,Tshirts,Black,Fall,2011.0,Casual,Locomotive Men Printed Black T-shirt
37766.jpg,http://assets.myntassets.com/v1/images/style/properties/59d2dc610e8356ee83aaadf683fc5076_images.jpg,37766,37766,Men,Apparel,Tops,Shirts,Orange,Summer,2012.0,Casual,John Players Men Check Orange Shirt
9664.jpg,http://assets.myntassets.com/v1/images/style/properties/081f1fcec77b2172ea9a2b34895f35d8_images.jpg,9664,9664,Men,Apparel,Tops,Shirts,Maroon,Fall,2011.0,Casual,Indigo Nation Men Bling Maroon Shirt
13496.jpg,http://assets.myntassets.com/v1/images/style/properties/d166cb8f6cab67e0452611dd9649362e_images.jpg,13496,13496,Men,Apparel,Tops,Tshirts,Blue,Fall,2011.0,Casual,Chimp Men Teja Main Hoon Blue Tshirts
24562.jpg,http://assets.myntassets.com/v1/images/style/properties/aa4476a033d78445ec8ad62bdb56e2d8_images.jpg,24562,24562,Men,Apparel,Tops,Shirts,Blue,Summer,2012.0,Casual,Lee Men Rubin Blue Shirt
43543.jpg,http://assets.myntassets.com/v1/images/style/properties/f199269ba88915134593b10e6c7b8bd2_images.jpg,43543,43543,Men,Apparel,Tops,Shirts,Lavender,Summer,2012.0,Casual,Scullers Men Checked Lavender Shirt
39224.jpg,http://assets.myntassets.com/v1/images/style/properties/8de1eb0cec3084a3aa1ecf493db23c49_images.jpg,39224,39224,Women,Apparel,Tops,Shirts,Pink,Summer,2012.0,Casual,Femella Women Pink Shirt
23956.jpg,http://assets.myntassets.com/v1/images/style/properties/b11bfa9ac586bc8e9c02064f57a668b6_images.jpg,23956,23956,Men,Apparel,Tops,Shirts,Grey,Fall,2011.0,Casual,Provogue Men Grey Shirt
16908.jpg,http://assets.myntassets.com/v1/images/style/properties/aa4377a9ed992ed46519d5151f04e188_images.jpg,16908,16908,Men,Apparel,Tops,Sweatshirts,Black,Fall,2011.0,Casual,Status Quo Men Solid Black Sweatshirt
5099.jpg,http://assets.myntassets.com/v1/images/style/properties/b77001f17b061af4b7a4e2c555d04544_images.jpg,5099,5099,Men,Apparel,Tops,Tshirts,White,Summer,2011.0,Casual,Wrangler Men's Saddle Up White T-shirt
11447.jpg,http://assets.myntassets.com/v1/images/style/properties/9af4956d9c95c6dfa15af460c390528b_images.jpg,11447,11447,Women,Apparel,Tops,Sweaters,White,Fall,2011.0,Casual,United Colors of Benetton Women Light Winter White Sweater
19703.jpg,http://assets.myntassets.com/v1/images/style/properties/a1e47c2fd58eb25d17cc0db3b20544c3_images.jpg,19703,19703,Men,Apparel,Tops,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Stripes Black Shirt
2040.jpg,http://assets.myntassets.com/v1/images/style/properties/6e2f96d8c460a9c1434e610f7cb6db85_images.jpg,2040,2040,Men,Apparel,Tops,Tshirts,White,Fall,2010.0,Casual,ADIDAS Mens Fire White Polo T-shirt
7534.jpg,http://assets.myntassets.com/v1/images/style/properties/91b1d7aa78d18f7a2ce8d942d55a9fa8_images.jpg,7534,7534,Men,Apparel,Tops,Tshirts,White,Summer,2011.0,Sports,Nike men's As Nike Spher White Orange T-shirt
9263.jpg,http://assets.myntassets.com/v1/images/style/properties/366790a97a4434005de9200e13bbcdc5_images.jpg,9263,9263,Men,Apparel,Tops,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Scul Purple Shirts
9065.jpg,http://assets.myntassets.com/v1/images/style/properties/18384f6c45b8873e9404d1df5a9a28dd_images.jpg,9065,9065,Men,Apparel,Tops,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
28531.jpg,http://assets.myntassets.com/v1/images/style/properties/7b7126517b4f5cfa5e57845a8530337e_images.jpg,28531,28531,Women,Apparel,Tops,Tshirts,Purple,Summer,2012.0,Sports,Nike Women Sprinter Purple T-shirt
7565.jpg,http://assets.myntassets.com/v1/images/style/properties/3f085294689528f5c399994571f60056_images.jpg,7565,7565,Men,Apparel,Tops,Tshirts,Grey,Summer,2011.0,Sports,Nike Men's Grey Polo T-Shirt
26878.jpg,http://assets.myntassets.com/v1/images/style/properties/82d9ae0b5980d9f17579c63bcd745350_images.jpg,26878,26878,Women,Apparel,Tops,Tops,Yellow,Summer,2012.0,Casual,Jealous 21 Women Printed Yellow Top
17159.jpg,http://assets.myntassets.com/v1/images/style/properties/68be566fc215091a6534eca9bc6af1e2_images.jpg,17159,17159,Men,Apparel,Tops,Shirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Blue Shirt
4425.jpg,http://assets.myntassets.com/v1/images/style/properties/09b162be8d10f33f939847963c255e14_images.jpg,4425,4425,Men,Apparel,Tops,Tshirts,Navy Blue,Summer,2011.0,Casual,Wrangler Men's Reverse Polo Pique Navy Blue T-shirt
7475.jpg,http://assets.myntassets.com/v1/images/style/properties/f8a879cb5b1bc1f7634ea3ecdb0456c5_images.jpg,7475,7475,Men,Apparel,Tops,Tshirts,Green,Summer,2011.0,Casual,Proline Men Green Polo T-shirt
19959.jpg,http://assets.myntassets.com/v1/images/style/properties/68193de113f0fe77b99e92c53913de88_images.jpg,19959,19959,Men,Apparel,Tops,Sweaters,Purple,Fall,2011.0,Casual,United Colors of Benetton Men Purple Sweater
4322.jpg,http://assets.myntassets.com/v1/images/style/properties/e88df494bb061516ccfbaf921e2a83b7_images.jpg,4322,4322,Unisex,Apparel,Tops,Tshirts,Green,Summer,2011.0,Casual,Tantra Kid's Unisex Mummy Aqua Green Kidswear
6979.jpg,http://assets.myntassets.com/v1/images/style/properties/c3f8fba38626c7385e596802c2ce7734_images.jpg,6979,6979,Women,Apparel,Tops,Tops,Pink,Summer,2011.0,Casual,S.Oliver Women Pink Tank Top
22355.jpg,http://assets.myntassets.com/v1/images/style/properties/8b0c3d75aaa7168c0a458d61d6663e53_images.jpg,22355,22355,Men,Apparel,Tops,Shirts,Blue,Fall,2011.0,Casual,John Players Men Solid Blue Shirt
24595.jpg,http://assets.myntassets.com/v1/images/style/properties/15fa446d94871c58c70855e7409d0bc6_images.jpg,24595,24595,Women,Apparel,Tops,Tshirts,Grey,Fall,2011.0,Casual,Little Miss Women Grey Printed T-shirt
42230.jpg,http://assets.myntassets.com/v1/images/style/properties/39b817a13012c29d2964761470a67822_images.jpg,42230,42230,Women,Apparel,Tops,Tops,Blue,Summer,2012.0,Casual,Sepia Women Blue Top
10475.jpg,http://assets.myntassets.com/v1/images/style/properties/71ba5875ef8da2f57aba1c3b4eeb5b32_images.jpg,10475,10475,Men,Apparel,Tops,Shirts,Brown,Fall,2011.0,Casual,Flying Machine Men FS Solid Brown Shirts
2680.jpg,http://assets.myntassets.com/v1/images/style/properties/b0d00b78c7183539ddf674ad68456e00_images.jpg,2680,2680,Men,Apparel,Tops,Tshirts,Blue,Summer,2011.0,Casual,Inkfruit Men's Indian Rule Blue T-shirt
7285.jpg,http://assets.myntassets.com/v1/images/style/properties/2bbd211fe85255274f19293f49150d6f_images.jpg,7285,7285,Men,Apparel,Tops,Tshirts,Green,Fall,2011.0,Casual,DC Comics Men's Son of Krypton T-shirt
19163.jpg,http://assets.myntassets.com/v1/images/style/properties/f79cce7495d356131d04089804fdec6f_images.jpg,19163,19163,Men,Apparel,Tops,Tshirts,Red,Summer,2011.0,Casual,United Colors of Benetton Men Solid Red TShirt
26058.jpg,http://assets.myntassets.com/v1/images/style/properties/b2136c2e4cdd3586b93099f62bb8bbbd_images.jpg,26058,26058,Men,Apparel,Tops,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Gingham Blue Shirt
33580.jpg,http://assets.myntassets.com/v1/images/style/properties/f82c229c46df3fdcc9ca5f1c04944b0f_images.jpg,33580,33580,Men,Apparel,Tops,Tshirts,Blue,Summer,2012.0,Casual,Wrangler Men Hiker Striped Blue T-shirt
3075.jpg,http://assets.myntassets.com/v1/images/style/properties/66c2c6062c67222ab18ddb5cde948ec6_images.jpg,3075,3075,Women,Apparel,Tops,Tshirts,Yellow,Summer,2011.0,Casual,Tantra Women's Green Flower Heart Yellow T-shirt
6572.jpg,http://assets.myntassets.com/v1/images/style/properties/c90062757b4521af1d9a6f57342ad347_images.jpg,6572,6572,Men,Apparel,Tops,Tshirts,Black,Summer,2011.0,Sports,Nike Men's Challenger Logo Black T-shirt
14727.jpg,http://assets.myntassets.com/v1/images/style/properties/244f9037acad0e083fc49f84047ec25a_images.jpg,14727,14727,Men,Apparel,Tops,Tshirts,Blue,Fall,2011.0,Casual,Ed Hardy Men Tiger Print Blue Tshirts
2617.jpg,http://assets.myntassets.com/v1/images/style/properties/747c8ce6e64e3a4faf3e5207ea06511b_images.jpg,2617,2617,Men,Apparel,Tops,Tshirts,Red,Summer,2011.0,Sports,Nike Mens Red Bleed Blue T-shirt
36324.jpg,http://assets.myntassets.com/v1/images/style/properties/614274f2a5c4c257aeca49f28b448d9f_images.jpg,36324,36324,Boys,Apparel,Tops,Tshirts,White,Summer,2012.0,Casual,Mr.Men Boys Mr. Happy White T-shirt
6789.jpg,http://assets.myntassets.com/v1/images/style/properties/Timberland-Men-Meriden-White-Check-Shirt_d40bc3532e28d1c1432bea2fc31252d5_images.jpg,6789,6789,Men,Apparel,Tops,Shirts,Green,Summer,2011.0,Casual,Timberland Men Meriden White Check Shirt
2147.jpg,http://assets.myntassets.com/v1/images/style/properties/ad82b650e174988120465a4d22fc7575_images.jpg,2147,2147,Men,Apparel,Tops,Tshirts,Orange,Spring,2011.0,Casual,Basics Men Orange Striped Polo T-shirt
9791.jpg,http://assets.myntassets.com/v1/images/style/properties/f581372a4f1c4e52d12c350f33090c6c_images.jpg,9791,9791,Men,Apparel,Tops,Tshirts,Brown,Fall,2011.0,Casual,Classic Polo Men Ikon Brown Polo Tshirts
25528.jpg,http://assets.myntassets.com/v1/images/style/properties/2c243f70519d020e2cd384daaa3859aa_images.jpg,25528,25528,Women,Apparel,Tops,Shirts,Navy Blue,Summer,2012.0,Casual,Wrangler Women Salena Navy Blue Check Shirt
9624.jpg,http://assets.myntassets.com/v1/images/style/properties/16d2382f9a1b4cff80365d6b631d9119_images.jpg,9624,9624,Men,Apparel,Tops,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Plain Light Blue Shirts
26272.jpg,http://assets.myntassets.com/v1/images/style/properties/993ef822d38c8358cc9b90b2e32437ec_images.jpg,26272,26272,Men,Apparel,Tops,Tshirts,Blue,Summer,2013.0,Casual,Proline Men Blue Polo T-shirt
